ds,yhat,yhat_lower,yhat_upper
2017-12-24,1252.9729752012981,-4015.102298578122,6625.732245306177
2017-12-25,1155.1352851567494,-4587.8635692454955,6636.235849134891
2017-12-26,1987.9949641224134,-3470.794301934621,7589.705285403896
2017-12-27,1334.8340813104496,-4423.805411488201,6732.152414331672
2017-12-28,1697.3480276617317,-3787.5311440117334,7208.0929846325525
2017-12-29,642.7754875255407,-5256.33725063263,6276.315830436467
2017-12-30,1320.5450815195813,-4500.121760140983,6675.5074983758705
2017-12-31,929.7028050130408,-4704.7889484400885,6613.224843455544
2018-01-13,2996.064868943466,-2294.312214098081,8457.169879877627
2018-01-14,2717.558192615643,-2771.7238687522304,8645.770929251767
2018-01-15,2857.1455565066854,-2273.9256491184606,8239.688343530504
2018-01-16,3890.28724890273,-1769.702963994977,9730.67589180455
2018-01-18,3876.2115806207908,-1896.0112508913508,9379.752529146092
2018-01-19,2893.5162125585543,-2961.085633555373,8217.517878384544
2018-01-20,3597.2884780644904,-1689.6948048197519,9302.211465557786
2018-01-21,3186.421954843368,-2474.7181799396076,8894.978736268644
2018-01-22,3184.3677275861874,-2751.7886422989254,8818.964774100732
2018-01-23,4069.420198027725,-1293.2378431524949,9931.844646064681
2018-01-24,3424.5148868669476,-2218.431459104317,8958.857786773473
2018-01-25,3751.8083583876705,-1397.5996766115782,9327.419339646907
2018-01-26,2619.7973778495266,-2965.3285052973465,8311.036674749603
2018-01-27,3179.9396646164205,-2160.3100872869204,8586.486413412234
2018-01-28,2634.040647992867,-2802.091562886099,8432.796677307919
2018-01-29,2508.2848774119893,-3164.4198808965316,8227.395703323426
2018-01-30,3283.460390464289,-2061.0453385791398,8596.233710301409
2018-01-31,2544.699486020036,-3200.7907761271995,8345.441528728294
2018-02-13,1859.70567800232,-4071.9005276720804,7354.753878587793
2018-02-14,1295.6553616441472,-4212.513910316447,6827.051109375181
2018-02-15,1740.7126280855393,-3692.123335230079,7410.86691837501
2018-02-16,759.995255904023,-4403.89936466254,6957.543874568245
2018-02-17,1500.8547369868254,-4189.266959109838,7247.161974245429
2018-02-19,1259.4451153296957,-4390.540398617491,6997.88979167276
2018-02-20,2273.25269083452,-3293.7853855870744,7949.473972986214
2018-02-22,2280.730356752102,-2959.2201067649753,7974.752003645134
2018-02-23,1336.3662434671974,-4347.768971995492,6947.5961022808315
2018-02-24,2094.607031546224,-3469.030082808462,8132.254011239146
2018-02-26,1830.8370852131857,-3624.2223750603325,7964.831034348126
2018-02-27,2806.033344088646,-2852.4889381196294,8392.936672770988
2018-02-28,2258.4445544983832,-2947.955983933004,7754.025231411459
2018-03-13,2059.9874969420703,-3951.2106822298883,7116.232946270325
2018-03-14,1377.521840673241,-3779.2430154839317,6467.424005622277
2018-03-15,1693.8258988306102,-4170.97868610179,6810.312791344925
2018-03-17,1181.780156332316,-4334.739678646542,6393.689520639764
2018-03-18,706.1501867062259,-4718.944328042463,6149.923034589082
2018-03-20,1570.6501952252718,-3842.69333883978,7220.390674303126
2018-03-21,972.3784785300894,-4829.874912847742,7043.129408097725
2018-03-22,1382.3232862840905,-4124.704095064996,6850.380412010379
2018-03-23,366.96250849896205,-5417.944653776577,6214.996246909921
2018-03-25,704.3714755835364,-4722.396042050934,6339.821730009327
2018-03-26,777.2542091397354,-4883.95758490013,6283.71253692558
2018-03-27,1769.502359279767,-3849.4575633094514,7197.900193513373
2018-03-29,1749.9999264002759,-3472.2233251796188,7232.988270403621
2018-03-30,800.8059517108852,-4605.064484979719,6350.019047317839
2018-03-31,1560.0399919224426,-4502.035101507495,7825.916307562807
2018-04-13,1008.0020328990731,-4710.942120260077,6749.248686975484
2018-04-14,1600.1209441224253,-3891.8923638141546,7572.885840549676
2018-04-15,1092.197301054546,-4409.641863036015,6917.728013618051
2018-04-16,1010.4210865156009,-5061.07714127143,6456.872602159875
2018-04-17,1835.5844696167956,-3805.2507393728956,7559.430137569005
2018-04-19,1466.0444403054964,-3870.2121218185634,7048.651554046849
2018-04-20,345.1523373007635,-5013.1997903500505,5910.760901400239
2018-04-21,942.4489518798988,-4504.282866909028,6716.7702096764615
2018-04-22,460.0635078960147,-5361.338520636654,6425.547064346848
2018-04-23,423.9381077853652,-5163.205735509281,6507.212856128063
2018-04-24,1314.0368033012521,-4204.777859031931,6627.174052851905
2018-04-25,714.08558300973,-4886.447080540474,6625.928693345683
2018-04-26,1126.1153492931535,-4418.292095183683,6898.918323514521
2018-04-27,117.56641960542265,-5227.757021211592,5410.936459680292
2018-04-28,837.9177726408029,-4471.447107314657,6395.046593543805
2018-04-29,486.10570215944017,-5137.892527371172,6115.6027343187325
2018-04-30,584.610163708254,-5030.93764564444,6499.22065731642
2018-05-13,2142.8027709609732,-3258.204935157698,8167.309918281398
2018-05-14,2205.330986220678,-3074.5628900160177,7496.349189424751
2018-05-15,3153.11419177214,-2675.308218863643,8744.853148093056
2018-05-18,1863.4243513213335,-4123.982577292479,7386.181536369555
2018-05-19,2462.8114775071444,-3003.1725999112423,7803.892952790762
2018-05-20,1947.4549745715246,-3374.7688644740483,7489.525454036281
2018-05-21,1842.9787648560591,-3754.981575540421,7618.963051436457
2018-05-22,2629.9202879928516,-2747.8909040945537,8440.582064726525
2018-05-23,1893.4708958510735,-3672.570216422208,7495.777930926153
2018-05-24,2137.995547843678,-3505.901168463315,7600.855414922827
2018-05-26,1435.1447266845455,-4087.878039341623,7375.125674597846
2018-05-27,844.6668317213761,-4734.111863825928,6562.125023025947
2018-05-28,690.2654750286918,-5224.92978013412,6242.044504012461
2018-06-15,586.9319903027463,-5246.505756870194,6081.024958615777
2018-06-18,1297.6214380146116,-4174.181858424948,7198.742488654084
2018-06-19,2347.793165279706,-3323.54937916479,8068.496717588165
2018-06-22,1415.344720613672,-4144.142050979261,7067.172631716245
2018-06-23,2142.80545008418,-3362.9409342744034,7661.807580335515
2018-06-24,1756.0973423206553,-4101.154083509489,7130.306360823374
2018-06-25,1778.5690336183545,-3506.649528825641,7435.161851378291
2018-06-26,2688.6128513799517,-2935.20411215876,8799.0533199577
2018-06-27,2069.456917050951,-3219.2248313788873,7615.3134979063725
2018-06-28,2423.731640236617,-3032.587344060291,7867.2246944157405
2018-06-29,1320.5683067806929,-4631.0208675833155,6845.9405958735415
2018-06-30,1912.1929372931625,-3701.8650880686014,7845.389783822813
2018-07-13,516.743459015096,-5350.108557681667,5831.653576057063
2018-07-14,1274.6285022429488,-4418.434068416277,7120.801763578395
2018-07-15,966.1235410283324,-5063.0633274333695,6223.875417701285
2018-07-16,1113.497776799748,-4204.746561561393,6418.029726222331
2018-07-18,1783.4730612914257,-3814.598442482857,7342.4614055048
2018-07-19,2383.477485433679,-2968.6477814974205,8118.841221409876
2018-07-20,1556.043248516724,-3708.9052355738922,7109.139021488733
2018-07-21,2446.6460379660807,-3139.5311321239415,7859.436103485137
2018-07-23,2486.683272038798,-3259.4733403222926,8171.451626430603
2018-07-26,3859.3996551401674,-1599.7646575296646,9588.414583918016
2018-07-27,3007.488283464221,-2617.3008792703176,8564.39312868088
2018-07-28,3843.9802531650544,-1725.3695378262005,9623.192037505003
2018-07-29,3565.009120226433,-1692.9841448804564,9476.195348004136
2018-07-30,3691.3259133578804,-1946.1451106821694,9001.445759799108
2018-07-31,4698.647649667531,-528.0007843108685,10287.960183617723
2018-08-13,2426.3079209713733,-3211.779459132868,7840.378802454516
2018-08-14,3151.971180396581,-2324.444936036927,8867.785581188444
2018-08-15,2373.9726417802344,-3226.1687892296873,7823.779355283141
2018-08-16,2596.898044038596,-3004.409343739726,7994.286357842957
2018-08-17,1390.932660064192,-4013.3408248529317,6768.2660657054585
2018-08-21,2068.9645362918986,-3391.16357617535,8094.656836338728
